GeoID,GeographicInfo
1,Mizoram
2,Goa
3,Rajasthan
4,Sikkim
5,West Bengal
6,Uttar Pradesh
7,Himachal Pradesh
8,Manipur
9,Gujarat
10,Andaman and Nicobar Islands
11,Tripura
12,Nagaland
13,Karnataka
14,Odisha
15,Maharashtra
16,Telangana
17,Delhi
18,Chandigarh
19,Jharkhand
20,Arunachal Pradesh
21,Tamil Nadu
22,Dadra and Nagar Haveli
23,Lakshadweep
24,Bihar
25,Daman and Diu
26,Assam
27,Punjab
28,Haryana
29,Chhattisgarh
30,Puducherry
31,Uttarakhand
32,Andhra Pradesh
33,Kerala
34,Madhya Pradesh
35,Meghalaya
